85,"*[[Johann Friedrich Agricola]] (1720–1774)","Johann Friedrich Agricola"
86,"*[[Martin Agricola]] (1486–1556)","Martin Agricola"
87,"*[[Dionisio Aguado]] (1784–1849)","Dionisio Aguado"
88,"*[[Graciela Agudelo]] (1945–2018)","Graciela Agudelo"
89,"*[[Ernani Aguiar]] (born 1950)","Ernani Aguiar"
90,"*[[Miguel del Águila]] (born 1957)","Miguel del Águila"
91,"*[[Sebastian Aguilera de Heredia]] (1561–1627)","Sebastian Aguilera de Heredia"
92,"*[[Eden Ahbez]] (1908–1995)","Eden Ahbez"
93,"*[[Johann Georg Ahle]] (1651–1706)","Johann Georg Ahle"
94,"*[[Johann Rudolph Ahle]] (1625–1673)","Johann Rudolph Ahle"
95,"*[[Maria Theresia Ahlefeldt|Countess Maria Theresia Ahlefeldt]] (1755–1810)","Maria Theresia Ahlefeldt"
96,"*[[Jacob Niclas Ahlström]] (1805–1857)","Jacob Niclas Ahlström"
97,"*[[Ahn Eak-tai]] (1906–1965)","Ahn Eak-tai"
98,"*[[Oscar Ahnfelt]] (1813–1882)","Oscar Ahnfelt"
99,"*[[Kalevi Aho]] (born 1949)","Kalevi Aho"
100,"*[[Sieglinde Ahrens]] (born 1936)","Sieglinde Ahrens"
101,"*[[Gregor Aichinger]] (c. 1565 – 1628)","Gregor Aichinger"
102,"*[[Bartholomäus Aich]] (17th century)","Bartholomäus Aich"
103,"*[[Karl Stefan Aichelburg]] (1782–1817)","Karl Stefan Aichelburg"
104,"*[[John Akar]] (1927–1975)","John Akar"
105,"*[[Doris Akers]] (1923–1995)","Doris Akers"
106,"*[[Toshiko Akiyoshi]] (born 1929)","Toshiko Akiyoshi"
107,"*[[Necil Kazım Akses]] (1908–1999)","Necil Kazım Akses"
108,"*[[Yasushi Akutagawa]] (1925–1989)","Yasushi Akutagawa"
109,"*[[Jehan Alain]] (1911–1940)","Jehan Alain"
110,"*[[Alamanda de Castelnau]] (fl. second half of 12th century)","Alamanda de Castelnau"
111,"*[[Pierre Alamire]] (Peter van den Hove) (c. 1470 – 1536)","Pierre Alamire"
112,"*[[Johannes Alanus]] (fl. late 14th or early 15th century)","Johannes Alanus"
113,"*[[Jean-Delphin Alard]] (1815–1888)","Jean-Delphin Alard"
114,"*[[Isaac Albéniz]] (1860–1909)","Isaac Albéniz"
115,"*[[Mateo Albéniz|Mateo Pérez de Albéniz]] (1755–1831)","Mateo Albéniz"
116,"*[[Pedro Albéniz|Pedro Albéniz y Basanta]] (1795–1855)","Pedro Albéniz"
117,"*[[Pere Alberch Vila|Pedro Alberch Vila]] (1517–1582)","Pere Alberch Vila"
118,"*[[Petur Alberg]] (1885–1940)","Petur Alberg"
119,"*[[Eleanor Alberga]] (born 1949)","Eleanor Alberga"
120,"*[[Pirro Albergati]] (1663–1735)","Pirro Albergati"
121,"*[[Eugen d'Albert]] (1864–1932)","Eugen d'Albert"
122,"*[[Heinrich Albert (composer)|Heinrich Albert]] (1604–1651)","Heinrich Albert (composer)"
123,"*[[Stephen Albert]] (1941–1992)","Stephen Albert"
124,"*[[Thomas Albert (composer)|Thomas Albert]] (born 1948)","Thomas Albert (composer)"
125,"*[[Domenico Alberti]] (c. 1710 – 1740)","Domenico Alberti"
126,"*[[Gasparo Alberti]] (c. 1489 – c. 1560)","Gasparo Alberti"
127,"*[[Giuseppe Matteo Alberti]] (1685–1751)","Giuseppe Matteo Alberti"
128,"*[[Innocentio Alberti]] (c. 1535 – 1615)","Innocentio Alberti"
129,"*[[Johann Friedrich Alberti]] (1642–1710)","Johann Friedrich Alberti"
130,"*[[Ignazio Albertini]] (1644–1685)","Ignazio Albertini"
131,"*[[Joachim Albertini]] (1748–1812)","Joachim Albertini"
132,"*[[Giovanni Henrico Albicastro|Henrico Albicastro]] (von Weissenburg) (c.1660 – after 1730)","Giovanni Henrico Albicastro"
133,"*[[Tomaso Albinoni]] (1671–1751)","Tomaso Albinoni"
134,"*[[Charles Albrecht]] (1817–1895)","Charles Albrecht"
135,"*[[Johann Georg Albrechtsberger]] (1736–1809)","Johann Georg Albrechtsberger"
136,"*[[William Albright (musician)|William Albright]] (1944–1998)","William Albright (musician)"
137,"*[[Mark Alburger]] (1957–2023)","Mark Alburger"
138,"*[[Nilo Alcala]] (born 1978)","Nilo Alcala"
139,"*[[Macedonio Alcalá]] (1831–1869)","Macedonio Alcalá"
140,"*[[Luna Alcalay]] (1928–2012)","Luna Alcalay"
141,"*[[José Bernardo Alcedo]] (1788–1878)","José Bernardo Alcedo"
142,"*[[Michael Alcorn]] (born 1962)","Michael Alcorn"
143,"*[[Amancio Jacinto Alcorta]] (1805–1862)","Amancio Jacinto Alcorta"
144,"*[[Casimiro Alcorta]] (1840–1913)","Casimiro Alcorta"
145,"*[[Henry Aldrich]] (1647–1710)","Henry Aldrich"
146,"*[[Amanda Christina Elizabeth Aldridge|Amanda Ira Aldridge]] (1866–1956)","Amanda Christina Elizabeth Aldridge"
147,"*[[Robert Aldridge (composer)|Robert Aldridge]] (born 1954)","Robert Aldridge (composer)"
148,"*[[Giuseppe Aldrovandini]] (1671–1707)","Giuseppe Aldrovandini"
149,"*[[Vittoria Aleotti]] (c.1575 – after 1620)","Vittoria Aleotti"
150,"*[[Leni Alexander]] (1924–2005)","Leni Alexander"
151,"*[[Liana Alexandra]] (1947–2011)","Liana Alexandra"
152,"*[[Franco Alfano]] (1875–1954)","Franco Alfano"
153,"*[[Alfonso X of Castile]] (1221–1284)","Alfonso X of Castile"
154,"*[[Kenneth J. Alford]] (1881–1945)","Kenneth J. Alford"
155,"*[[Hugo Alfvén]] (1872–1960)","Hugo Alfvén"
156,"*[[Charlotte Alington Barnard]] (1830–1869)","Charlotte Alington Barnard"
157,"*[[Francesc Alió]] (1862–1908)","Francesc Alió"
158,"*[[Franghiz Ali-Zadeh]] (born 1947)","Franghiz Ali-Zadeh"
159,"*[[Charles-Valentin Alkan]] (1813–1888)","Charles-Valentin Alkan"
160,"*[[Siegfried Alkan]] (1858–1941)","Siegfried Alkan"
161,"*[[Esther Allan]] (1914–1985)","Esther Allan"
162,"*[[Gregorio Allegri]] (1582–1652)","Gregorio Allegri"
163,"*[[Steve Allen]] (1921–2000)","Steve Allen"
164,"*[[Pedro Humberto Allende]] (1885–1959)","Pedro Humberto Allende"
165,"*[[Juan Allende-Blin]] (born 1928)","Juan Allende-Blin"
166,"*[[Kristi Allik]] (born 1952)","Kristi Allik"
167,"*[[Richard Allison (composer)|Richard Allison]] (1560/1570?–1610?)","Richard Allison (composer)"
168,"*[[Frances Allitsen]] (1848–1912)","Frances Allitsen"
169,"*[[Francisco António de Almeida]] (c. 1702 – 1755)","Francisco António de Almeida"
170,"*[[João Pedro de Almeida Mota]] (1744–1817)","João Pedro de Almeida Mota"
171,"*[[Laurindo Almeida]] (1917–1995)","Laurindo Almeida"
172,"*[[Atso Almila]] (born 1953)","Atso Almila"
173,"*[[Carl Jonas Love Almqvist]] (1793–1866)","Carl Jonas Love Almqvist"
174,"*[[Eyvind Alnæs]] (1872–1932)","Eyvind Alnæs"
175,"*[[Daniel Alomía Robles]] (1871–1942)","Daniel Alomía Robles"
176,"*[[Francisco Alonso]] (1887–1948)","Francisco Alonso"
177,"*[[Eduardo Alonso-Crespo]] (born 1956)","Eduardo Alonso-Crespo"
178,"*[[Yardena Alotin]] (1930–1994)","Yardena Alotin"
179,"*[[Birgitte Alsted]] (born 1942)","Birgitte Alsted"
180,"*[[Johann Ernst Altenburg]] (1734–1801)","Johann Ernst Altenburg"
181,"*[[Michael Altenburg]] (1584–1640)","Michael Altenburg"
182,"*[[Martha Alter]] (1904–1976)","Martha Alter"
183,"*[[Johann Christoph Altnickol]] (1720–1759)","Johann Christoph Altnickol"
184,"*[[Fermín María Álvarez]] (1833–1898)","Fermín María Álvarez"
185,"*[[Javier Álvarez (composer)|Javier Álvarez]] (1956–2023)","Javier Álvarez (composer)"
186,"*[[Antonio Álvarez Alonso]] (1867–1903)","Antonio Álvarez Alonso"
187,"*[[Miguel Álvarez-Fernández]] (born 1979)","Miguel Álvarez-Fernández"
188,"*[[Elias Parish Alvars]] (1808–1849)","Elias Parish Alvars"
189,"*[[Maria de Alvear]] (born 1960)","Maria de Alvear"
190,"*[[Berta Alves de Sousa]] (1906–1997)","Berta Alves de Sousa"
191,"*[[William Alwyn]] (1905–1985)","William Alwyn"
192,"*[[Alexander Alyabyev]] (1787–1851)","Alexander Alyabyev"
193,"*[[Maryanne Amacher]] (1938–2009)","Maryanne Amacher"
194,"*[[Filippo Amadei]] (c. 1665 – c. 1725)","Filippo Amadei"
195,"*[[Gaetano Amadeo]] (1824–1893)","Gaetano Amadeo"
196,"*[[Amalia Catharina|Amalia Catharina, Countess of Erbach]] (1640–1697)","Amalia Catharina"
197,"*[[Princess Amalie of Saxony|Amalie, Princess of Saxony]] (1794–1870)","Princess Amalie of Saxony"
198,"*[[W. D. Amaradeva|Amaradeva]] (1927–2016)","W. D. Amaradeva"
199,"*[[Joan Albert Amargós]] (born 1950)","Joan Albert Amargós"
200,"*[[Miguel de Ambiela]] (1655–1733)","Miguel de Ambiela"
201,"*[[August Wilhelm Ambros]] (1816–1876)","August Wilhelm Ambros"
202,"*[[Marco Ambrosini]] (born 1964)","Marco Ambrosini"
203,"*[[Hermann Ambrosius]] (1897–1983)","Hermann Ambrosius"
204,"*[[Bjarne Amdahl]] (1903–1968)","Bjarne Amdahl"
205,"*[[René Amengual]] (1911–1954)","René Amengual"
206,"*[[Sahba Aminikia]] (born 1981)","Sahba Aminikia"
207,"*[[Jean-Claude Amiot]] (born 1939)","Jean-Claude Amiot"
208,"*[[Emanuel Amiran-Pougatchov]] (1909–1993)","Emanuel Amiran-Pougatchov"
209,"*[[Charles Amirkhanian]] (born 1945)","Charles Amirkhanian"
210,"*[[Elias Ammerbach|Elias Nikolaus Ammerbach]] (c. 1530 – 1597)","Elias Ammerbach"
211,"*[[Hurrians#Music|Ammiya]] (c.1400 BC)","Hurrians#Music"
212,"*[[John Amner]] (1579–1641)","John Amner"
213,"*[[Cataldo Amodei]] (1649 – 1693)","Cataldo Amodei"
214,"*[[David Amram]] (born 1930)","David Amram"
215,"*[[Gilbert Amy]] (born 1936)","Gilbert Amy"
216,"*[[Juan de Anchieta]] (1462–1523)","Juan de Anchieta"
217,"*[[Solange Ancona]] (1943–2019)","Solange Ancona"
218,"*[[Jean Ancot Snr|Jean Ancot]] (1776–1848)","Jean Ancot Snr"
219,"*[[Laura Andel]] (born 1968)","Laura Andel"
220,"*[[Gwyneth Van Anden Walker]] (born 1947)","Gwyneth Van Anden Walker"
221,"*[[Avril Anderson]] (born 1953)","Avril Anderson"
222,"*[[Beth Anderson (composer)|Beth Anderson]] (born 1950)","Beth Anderson (composer)"
223,"*[[Johann Andreas Amon]] (1763–1825)","Johann Andreas Amon"
224,"*[[Fritz Andersen]] (1829–1910)","Fritz Andersen"
225,"*[[Joachim Andersen (composer)|Joachim Andersen]] (1847–1909)","Joachim Andersen (composer)"
226,"*[[Julian Anderson]] (born 1967)","Julian Anderson"
227,"*[[Laurie Anderson]] (born 1947)","Laurie Anderson"
228,"*[[Leroy Anderson]] (1908–1975)","Leroy Anderson"
229,"*[[T. J. Anderson]] (born 1928)","T. J. Anderson"
230,"*[[Tom Anderson (fiddler)|Tom Anderson]] (1910–1991)","Tom Anderson (fiddler)"
231,"*[[Rafael Andia]] (born 1942)","Rafael Andia"
232,"*[[Ruth Anderson (composer)|Ruth Anderson]] (1928–2019)","Ruth Anderson (composer)"
233,"*[[Johann André]] (1741–1799)","Johann André"
234,"*[[Elfrida Andrée]] (1841–1929)","Elfrida Andrée"
235,"*[[Kerry Andrew]] (born 1978)","Kerry Andrew"
236,"*[[Annamacharya]] (1408–1503)","Annamacharya"
237,"*[[Johann Anton André]] (1775–1842)","Johann Anton André"
238,"*[[Andrea da Firenze]] (died 1415)","Andrea da Firenze"
239,"*[[Andrew of Crete|Saint Andrew of Crete]] (c. 650–712, 726 or 740)","Andrew of Crete"
240,"*[[Iosif Andriasov]] (1933–2000)","Iosif Andriasov"
241,"*[[Hendrik Andriessen]] (1892–1981)","Hendrik Andriessen"
242,"*[[Jurriaan Andriessen (composer)|Jurriaan Andriessen]] (1925–1996)","Jurriaan Andriessen (composer)"
243,"*[[Louis Andriessen]] (1939–2021)","Louis Andriessen"
244,"*[[Willem Andriessen]] (1887–1964)","Willem Andriessen"
245,"*[[F. Andrieu]] ({{fl|late 14th century}})<ref>{{cite encyclopedia |last=Reaney |first=Gilbert |author-link=Gilbert Reaney |year=2001 |encyclopedia=[[Grove Music Online]] |title=Andrieu, F. |publisher=[[Oxford University Press]] |location=Oxford |access-date=23 November 2020 |doi=10.1093/gmo/9781561592630.article.00904 |isbn=978-1-56159-263-0 |url-access=subscription |url=https://www.oxfordmusiconline.com/grovemusic/view/10.1093/gmo/9781561592630.001.0001/omo-9781561592630-e-0000000904 }} {{Grove Music subscription}}</ref>","F. Andrieu"
246,"*[[José Escolástico Andrino]] (1817–1862)","José Escolástico Andrino"
247,"*[[Felice Anerio]] (1560–1614)","Felice Anerio"
248,"*[[Giovanni Francesco Anerio]] (c. 1567 – 1630)","Giovanni Francesco Anerio"
249,"*[[Pasquale Anfossi]] (1727–1797)","Pasquale Anfossi"
250,"*[[Gasparo Angiolini]] (1731–1803)","Gasparo Angiolini"
251,"*[[Jean-Henri d'Anglebert]] (1629–1691)","Jean-Henri d'Anglebert"
252,"*[[Giovanni Animuccia]] (c. 1520 – 1571)","Giovanni Animuccia"
253,"*[[Princess Anna Amalia of Prussia|Anna Amalia]] (Princess of Prussia) (1723–1787)","Princess Anna Amalia of Prussia"
254,"*[[Duchess Anna Amalia of Brunswick-Wolfenbüttel|Anna Amalia]] (Duchess of Saxe-Weimar-Eisenach) (1739–1807)","Duchess Anna Amalia of Brunswick-Wolfenbüttel"
255,"*[[Lucia Contini Anselmi]] (1876 – after 1913)","Lucia Contini Anselmi"
256,"*[[Caroline Ansink]] (born 1959)","Caroline Ansink"
257,"*[[Conrad Ansorge]] (1862–1930)","Conrad Ansorge"
258,"*[[Elizabeth Anspach]] (1750–1828)","Elizabeth Anspach"
259,"*[[John Antes]] (1740–1811)","John Antes"
260,"*[[George Antheil]] (1900–1959)","George Antheil"
261,"*[[Andrea Antico]] (c.1480 – after 1538)","Andrea Antico"
262,"*[[John Antill]] (1904–1986)","John Antill"
263,"*[[Antonello da Caserta]] (late 14th&nbsp;– early 15th century)","Antonello da Caserta"
264,"*[[Antonio da Cividale]] (fl. 1392–1421)","Antonio da Cividale"
265,"*[[Antonio José Martínez Palacios]] (1902–1936)","Antonio José Martínez Palacios"
266,"*[[Theodore Antoniou]] (1935–2018)","Theodore Antoniou"
267,"*[[Giovanni D'Anzi]] (1906–1974)","Giovanni D'Anzi"
268,"*[[Yoshino Aoki]] (born 1971)","Yoshino Aoki"
269,"*[[Georges Aperghis]] (born 1945)","Georges Aperghis"
270,"*[[Aphex Twin]] (born 1971)","Aphex Twin"
271,"*[[Denis ApIvor]] (1916–2004)","Denis ApIvor"
272,"*[[Giuseppe Apolloni]] (1822–1889)","Giuseppe Apolloni"
273,"*[[Hans Erich Apostel]] (1901–1972)","Hans Erich Apostel"
274,"*[[Dina Appeldoorn]] (1884–1938)","Dina Appeldoorn"
275,"*[[Benedictus Appenzeller]] (1480/1488–after 1558)","Benedictus Appenzeller"
276,"*[[Adelaide Orsola Appignani]] (1807–1884)","Adelaide Orsola Appignani"
277,"*[[Louis Applebaum]] (1918–2000)","Louis Applebaum"
278,"*[[Mark Applebaum]] (born 1967)","Mark Applebaum"
279,"*[[Thomas Appleby (composer)|Thomas Appleby]] (c.1488?–1563/1564)","Thomas Appleby (composer)"
280,"*[[Mary Jeanne van Appledorn]] (1927–2014)","Mary Jeanne van Appledorn"
281,"*[[Francesco Araja]] (1709 – after 1762)","Francesco Araja"
282,"*[[Jesús Arámbarri]] (1902–1960)","Jesús Arámbarri"
283,"*[[Pedro Aranaz]] (1742–1821)","Pedro Aranaz"
284,"*[[Juan Arañés]] (died 1649)","Juan Arañés"
285,"*[[Juan de Araujo]] (1646–1712)","Juan de Araujo"
286,"*[[Izabella Arazova]] (born 1936)","Izabella Arazova"
287,"*[[Jean-Baptiste Arban]] (1825–1889)","Jean-Baptiste Arban"
288,"*[[Chaya Arbel]] (1921–2007)","Chaya Arbel"
289,"*[[Jacques Arcadelt]] (1507?–1568)","Jacques Arcadelt"
290,"*[[Julián Arcas]] (1832–1882)","Julián Arcas"
291,"*[[Frederic Archer]] (1838–1901)","Frederic Archer"
292,"*[[Malcolm Archer]] (born 1952)","Malcolm Archer"
293,"*[[Violet Archer]] (1913–2000)","Violet Archer"
294,"*[[José Ardévol]] (1911–1981)","José Ardévol"
295,"*[[Luigi Arditi]] (1822–1903)","Luigi Arditi"
296,"*[[Sven Arefeldt]] (1908–1956)","Sven Arefeldt"
297,"*[[Bülent Arel]] (1919–1990)","Bülent Arel"
298,"*[[Anton Arensky]] (1861–1906)","Anton Arensky"
299,"*[[Paolo Aretino]] (1508–1584)","Paolo Aretino"
300,"*[[Isabel Aretz]] (1913–2005)","Isabel Aretz"
301,"*[[Dominick Argento]] (1927–2019)","Dominick Argento"
302,"*[[Anneli Arho]] (born 1951)","Anneli Arho"
303,"*[[Nick Ariondo]] (born 1949)","Nick Ariondo"
304,"*[[Attilio Ariosti]] (1666–1729)","Attilio Ariosti"
305,"*[[Rodolfo Arízaga|Rodolfo Arizaga]] (1926–1985)","Rodolfo Arízaga"
306,"*[[Cecilia Arizti]] (1856–1930)","Cecilia Arizti"
307,"*[[Marian Arkwright]] (1863–1922)","Marian Arkwright"
308,"*[[Albert Arlen]] (1905–1993)","Albert Arlen"
309,"*[[Harold Arlen]] (1905–1986)","Harold Arlen"
310,"*[[Walter Arlen]] (1920–2023)","Walter Arlen"
311,"*[[Olof Thiel|Jacques Armand]] (Olof Thiel) (1892–1978)","Olof Thiel"
312,"*[[Pietro Armanini]] (1844–1895)","Pietro Armanini"
313,"*[[Elinor Armer]] (born 1939)","Elinor Armer"
314,"*[[Andreas Armsdorff]] (1670–1699)","Andreas Armsdorff"
315,"*[[Gheorghi Arnaoudov]] (born 1957)","Gheorghi Arnaoudov"
316,"*[[Leo Arnaud]] (1904–1991)","Leo Arnaud"
317,"*[[Desi Arnaz]] (1917–1986)","Desi Arnaz"
318,"*[[Michael Arne]] (1740/1741–1786)","Michael Arne"
319,"*[[Thomas Arne]] (1710–1778)","Thomas Arne"
320,"*[[Richard Arnell]] (1917–2009)","Richard Arnell"
321,"*[[Blaž Arnič]] (1901–1970)","Blaž Arnič"
322,"*[[Carl Arnold (composer)|Carl Arnold]] (1794–1873)","Carl Arnold (composer)"
323,"*[[Malcolm Arnold]] (1921–2006)","Malcolm Arnold"
324,"*[[Samuel Arnold (composer)|Samuel Arnold]] (1740–1802)","Samuel Arnold (composer)"
325,"*[[Yuri Karlovich Arnold]] (1811–1898)","Yuri Karlovich Arnold"
326,"*[[Robert Sterling Arnold]] (1905–2003)","Robert Sterling Arnold"
327,"*[[Juan Crisóstomo Arriaga]] (1806–1826)","Juan Crisóstomo Arriaga"
328,"*[[Emilio Arrieta]] (1823–1894)","Emilio Arrieta"
329,"*[[Claude Arrieu]] (1903–1990)","Claude Arrieu"
330,"*[[Nikolai Artsybushev]] (1858–1937)","Nikolai Artsybushev"
331,"*[[Giovanni Artusi]] (c. 1540 – 1613)","Giovanni Artusi"
332,"*[[Vyacheslav Artyomov]] (born 1940)","Vyacheslav Artyomov"
333,"*[[Alexander Arutiunian]] (1920–2012)","Alexander Arutiunian"
334,"*[[Elena Asachi]] (1789–1877)","Elena Asachi"
335,"*[[Boris Asafyev]] (1884–1949)","Boris Asafyev"
336,"*[[Joseph Ascher]] (1829–1869)","Joseph Ascher"
337,"*[[Leo Ascher]] (1880–1942)","Leo Ascher"
338,"*[[Vicente Asencio]] (1908–1979)","Vicente Asencio"
339,"*[[Thomas Ashwell]] (c.1478 – after 1513)","Thomas Ashwell"
340,"*[[Robert Ashley]] (1930–2014)","Robert Ashley"
341,"*[[Nils Henrik Asheim]] (born 1960)","Nils Henrik Asheim"
342,"*[[Daniel Asia]] (born 1953)","Daniel Asia"
343,"*[[Gianmatteo Asola]] (c. 1532 – 1609)","Gianmatteo Asola"
344,"*[[Franz Asplmayr]] (1728–1786)","Franz Asplmayr"
345,"*[[Caterina Assandra]] (c.1590 – after 1618)","Caterina Assandra"
346,"*[[Charles Coypeau d'Assoucy|Charles d'Assoucy]] (1605–1677)","Charles Coypeau d'Assoucy"
347,"*[[Ignaz Assmayer]] (1790–1862)","Ignaz Assmayer"
348,"*[[Edwin Astley]] (1922–1998)","Edwin Astley"
349,"*[[Félix Astol Artés|Fèlix Astol i Artés]] (1813–1901)","Félix Astol Artés"
350,"*[[Hugh Aston]] (Hugh Ashton) (c. 1485 – 1558)","Hugh Aston"
351,"*[[Peter Aston]] (1938–2013)","Peter Aston"
352,"*[[Emanuele d'Astorga]] (1680–1757)","Emanuele d'Astorga"
353,"*[[Athenaeus (musician)|Athenaeus son of Athenaeus]] (fl. 138 BC–28 BC)","Athenaeus (musician)"
