refString,fstName,midNames,lstName,fullName,origLangName,currGender,dobYgr,dobMgr,dobDgr,dobFlag
https://en.wikipedia.org/w/index.php?title=Clamor_Heinrich_Abel&oldid=1214300661,Clamor,,Abel,Clamor Heinrich Abel,,,1634,,,b.
https://en.wikipedia.org/w/index.php?title=Ludwig_Abel&oldid=1217485175,Ludwig,,Abel,Ludwig Abel,,,1835,1,14,b.
https://en.wikipedia.org/w/index.php?title=Mark_Abel&oldid=1169371913,Mark,,Abel,Mark Abel,,,1948,4,28,b.
https://en.wikipedia.org/w/index.php?title=Michael_Abels&oldid=1228118383,Michael,,Abels,Michael Abels,,,1962,10,8,b.
https://en.wikipedia.org/w/index.php?title=Peter_Abelard&oldid=1226587287,Peter,,Abelard,Peter Abelard,,,1079,,,c.
https://en.wikipedia.org/w/index.php?title=Nicanor_Abelardo&oldid=1228316815,Nicanor,,Abelardo,Nicanor Abelardo,,,1893,2,7,b.
https://en.wikipedia.org/w/index.php?title=David_Abell_(composer)&oldid=1216809002,David,,Abell,David Abell (composer),,,1576,,,c.
https://en.wikipedia.org/w/index.php?title=John_Abell&oldid=1212478181,John,,Abell,John Abell,,,1653,,,b.
https://en.wikipedia.org/w/index.php?title=Walter_Abendroth&oldid=1222944607,Walter,,Abendroth,Walter Abendroth,,,1896,5,29,b.
https://en.wikipedia.org/w/index.php?title=Jan_Håkan_Åberg&oldid=1113365289,Jan,,Åberg,Jan Håkan Åberg,,,1916,3,10,b.
https://en.wikipedia.org/w/index.php?title=Lasse_Åberg&oldid=1211944734,Lasse,,Åberg,Lasse Åberg,,,1940,5,5,b.
https://en.wikipedia.org/w/index.php?title=Johann_Joseph_Abert&oldid=1227234806,Johann,,Abert,Johann Joseph Abert,,,1832,9,20,b.
"https://en.wikipedia.org/w/index.php?title=Willoughby_Bertie,_4th_Earl_of_Abingdon&oldid=1221580390",Willoughby,,Bertie,"Willoughby Bertie, 4th Earl of Abingdon",,,1740,1,16,b.
https://en.wikipedia.org/w/index.php?title=Peter_Ablinger&oldid=1122618492,Peter,,Ablinger,Peter Ablinger,,,1959,3,15,b.
https://en.wikipedia.org/w/index.php?title=Lora_Aborn&oldid=1220683038,Lora,,Aborn,Lora Aborn,,,1907,5,30,b.
https://en.wikipedia.org/w/index.php?title=Girolamo_Abos&oldid=1219468450,Girolamo,,Abos,Girolamo Abos,,,1715,11,16,b.
https://en.wikipedia.org/w/index.php?title=Paul_Abraham&oldid=1223746541,Paul,,Abraham,Paul Abraham,,,1859,11,2,b.
https://en.wikipedia.org/w/index.php?title=Maurice_Abrahams&oldid=1126511300,Maurice,,Abrahams,Maurice Abrahams,,,1883,3,18,b.
https://en.wikipedia.org/w/index.php?title=Mahdyar_Aghajani&oldid=1227740142,Mahdyar,,Aghajani,Mahdyar Aghajani,,,1989,1,22,b.
https://en.wikipedia.org/w/index.php?title=Hans_Abrahamsen&oldid=1221133548,Hans,,Abrahamsen,Hans Abrahamsen,,,1952,12,23,b.
https://en.wikipedia.org/w/index.php?title=Harriett_Abrams&oldid=1209038027,Harriett,,Abrams,Harriett Abrams,,,1762,,,c.
https://en.wikipedia.org/w/index.php?title=Alexander_Abramsky&oldid=1218679118,Alexander,,Abramsky,Alexander Abramsky,,,1898,1,22,b.
https://en.wikipedia.org/w/index.php?title=Kornél_Ábrányi&oldid=1225986698,Kornél,,Ábrányi,Kornél Ábrányi,,,1822,10,15,b.
https://en.wikipedia.org/w/index.php?title=Zequinha_de_Abreu&oldid=1222065217,Zequinha,,Abreu,Zequinha de Abreu,,,1880,9,19,b.
https://en.wikipedia.org/w/index.php?title=Ayoob_Tarish&oldid=1220562578,Ayoob,,Tarish,Ayoob Tarish,,,1942,,,b.
https://en.wikipedia.org/w/index.php?title=Jean_Absil&oldid=1218347192,Jean,,Absil,Jean Absil,,,1893,10,23,b.
https://en.wikipedia.org/w/index.php?title=Franz_Abt&oldid=1218351005,Franz,,Abt,Franz Abt,,,1819,12,22,b.
https://en.wikipedia.org/w/index.php?title=Henry_Abyngdon&oldid=1218620027,Henry,,Abyngdon,Henry Abyngdon,,,1418,,,c.
https://en.wikipedia.org/w/index.php?title=Filippo_Acciaiuoli&oldid=1223288486,Filippo,,Acciaiuoli,Filippo Acciaiuoli,,,1637,,,b.
https://en.wikipedia.org/w/index.php?title=Jean-Baptiste_Accolay&oldid=1221195036,Jean-Baptiste,,Accolay,Jean-Baptiste Accolay,,,1833,4,17,b.
https://en.wikipedia.org/w/index.php?title=Joseph_Achron&oldid=1220508220,Joseph,,Achron,Joseph Achron,,,1886,5,1,b.
https://en.wikipedia.org/w/index.php?title=Dieter_Acker&oldid=1192263135,Dieter,,Acker,Dieter Acker,,,1940,11,3,b.
https://en.wikipedia.org/w/index.php?title=Marcial_del_Adalid_y_Gurréa&oldid=1219564787,Marcial,,Gurréa,Marcial del Adalid y Gurréa,,,1826,8,24,b.
https://en.wikipedia.org/w/index.php?title=Adolphe_Adam&oldid=1218352843,Adolphe,,Adam,Adolphe Adam,,,1803,7,24,b.
https://en.wikipedia.org/w/index.php?title=Mark_Adamo&oldid=1218351567,Mark,,Adamo,Mark Adamo,,,1962,,,b.
https://en.wikipedia.org/w/index.php?title=Alton_Adams&oldid=1220512738,Alton,,Adams,Alton Adams,,,1889,11,4,b.
https://en.wikipedia.org/w/index.php?title=Leslie_Adams_(composer)&oldid=1225668837,Leslie,,Adams,Leslie Adams (composer),,,1932,12,30,b.
https://en.wikipedia.org/w/index.php?title=John_Adams_(composer)&oldid=1227710979,John,,Adams,John Adams (composer),,,1947,2,15,b.
https://en.wikipedia.org/w/index.php?title=John_Luther_Adams&oldid=1169342668,John,,Adams,John Luther Adams,,,1953,1,23,b.
https://en.wikipedia.org/w/index.php?title=Michael_Maybrick&oldid=1213843939,Michael,,Maybrick,Michael Maybrick,,,1841,1,31,b.
"https://en.wikipedia.org/w/index.php?title=Thomas_Adams_(organist,_born_1785)&oldid=1219575062",Thomas,,Adams,"Thomas Adams (organist, born 1785)",,,1785,9,5,b.
https://en.wikipedia.org/w/index.php?title=Ella_Adayevskaya&oldid=1223190492,Ella,,Adayevskaya,Ella Adayevskaya,,,1846,2,22,b.
https://en.wikipedia.org/w/index.php?title=Richard_Addinsell&oldid=1225246406,Richard,,Addinsell,Richard Addinsell,,,1904,1,13,b.
https://en.wikipedia.org/w/index.php?title=John_Addison_(1765–1844)&oldid=1219903314,John,,Addison,John Addison (1765–1844),,,1765,,,c.
https://en.wikipedia.org/w/index.php?title=John_Addison&oldid=1224954492,John,,Addison,John Addison,,,1920,3,16,b.
https://en.wikipedia.org/w/index.php?title=Thomas_Adès&oldid=1226573462,Thomas,,Adès,Thomas Adès,,,1971,3,1,b.
https://en.wikipedia.org/w/index.php?title=Vasif_Adigozalov&oldid=1167755312,Vasif,,Adigozalov,Vasif Adigozalov,,,1935,7,28,b.
https://en.wikipedia.org/w/index.php?title=Hugo_Chaim_Adler&oldid=1226958396,Hugo,,Adler,Hugo Chaim Adler,,,1894,1,17,b.
https://en.wikipedia.org/w/index.php?title=Larry_Adler&oldid=1227057162,Larry,,Adler,Larry Adler,,,1914,2,10,b.
https://en.wikipedia.org/w/index.php?title=Samuel_Adler_(composer)&oldid=1224827230,Samuel,,Adler,Samuel Adler (composer),,,1928,3,4,b.
https://en.wikipedia.org/w/index.php?title=Anton_Cajetan_Adlgasser&oldid=1217650894,Anton,,Adlgasser,Anton Cajetan Adlgasser,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Bruce_Adolphe&oldid=1208965888,Bruce,,Adolphe,Bruce Adolphe,,,1955,5,31,b.
https://en.wikipedia.org/w/index.php?title=Olle_Adolphson&oldid=1150246145,Olle,,Adolphson,Olle Adolphson,,,1934,5,2,b.
https://en.wikipedia.org/w/index.php?title=Theodor_W._Adorno&oldid=1220706652,Theodor,,Adorno,Theodor W. Adorno,,,1903,9,11,b.
https://en.wikipedia.org/w/index.php?title=Emmanuel_Adriaenssen&oldid=1224418361,Emmanuel,,Adriaenssen,Emmanuel Adriaenssen,,,1554,,,c.
https://en.wikipedia.org/w/index.php?title=John_Adson&oldid=1219889125,John,,Adson,John Adson,,,1587,,,c.
https://en.wikipedia.org/w/index.php?title=Josina_van_Aerssen&oldid=1211883770,Josina,,Aerssen,Josina van Aerssen,,,1733,1,3,b.
https://en.wikipedia.org/w/index.php?title=Nikolay_Afanasyev_(composer)&oldid=1214253787,Nikolay,,Afanasyev,Nikolay Afanasyev (composer),,,1860,,,c.
https://en.wikipedia.org/w/index.php?title=José_Afonso&oldid=1220715013,José,,Afonso,José Afonso,,,1929,8,2,b.
https://en.wikipedia.org/w/index.php?title=Agostino_Agazzari&oldid=1223288487,Agostino,,Agazzari,Agostino Agazzari,,,1578,12,2,b.
https://en.wikipedia.org/w/index.php?title=Klaus_Ager&oldid=1216802369,Klaus,,Ager,Klaus Ager,,,1946,5,10,b.
https://en.wikipedia.org/w/index.php?title=Milton_Ager&oldid=1213611879,Milton,,Ager,Milton Ager,,,1893,10,6,b.
https://en.wikipedia.org/w/index.php?title=François_d'Agincourt&oldid=1217477159,François,,d'Agincourt,François d'Agincourt,,,1684,,,b.
https://en.wikipedia.org/w/index.php?title=Maria_Teresa_Agnesi_Pinottini&oldid=1217809021,Maria,,Pinottini,Maria Teresa Agnesi Pinottini,,,1720,10,17,b.
https://en.wikipedia.org/w/index.php?title=Lejla_Agolli&oldid=1217094205,Lejla,,Agolli,Lejla Agolli,,,1950,10,4,b.
https://en.wikipedia.org/w/index.php?title=Lodovico_Agostini&oldid=1218502601,Lodovico,,Agostini,Lodovico Agostini,,,1534,,,b.
https://en.wikipedia.org/w/index.php?title=Paolo_Agostino&oldid=1223288538,Paolo,,Agostino,Paolo Agostino,,,1583,,,c.
https://en.wikipedia.org/w/index.php?title=Johan_Agrell&oldid=1219054990,Johan,,Agrell,Johan Agrell,,,1701,2,1,b.
https://en.wikipedia.org/w/index.php?title=Alexander_Agricola&oldid=1217954076,Alexander,,Agricola,Alexander Agricola,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Johann_Friedrich_Agricola&oldid=1219348145,Johann,,Agricola,Johann Friedrich Agricola,,,1720,1,4,b.
https://en.wikipedia.org/w/index.php?title=Martin_Agricola&oldid=1225607062,Martin,,Agricola,Martin Agricola,,,1486,1,6,b.
https://en.wikipedia.org/w/index.php?title=Dionisio_Aguado_y_García&oldid=1215490788,Dionisio,,García,Dionisio Aguado y García,,,1784,4,8,b.
https://en.wikipedia.org/w/index.php?title=Graciela_Agudelo&oldid=1120472885,Graciela,,Agudelo,Graciela Agudelo,,,1945,12,7,b.
https://en.wikipedia.org/w/index.php?title=Ernani_Aguiar&oldid=1218214132,Ernani,,Aguiar,Ernani Aguiar,,,1950,8,30,b.
https://en.wikipedia.org/w/index.php?title=Miguel_del_Águila&oldid=1225406243,Miguel,,Águila,Miguel del Águila,,,1957,9,15,b.
https://en.wikipedia.org/w/index.php?title=Sebastian_Aguilera_de_Heredia&oldid=1218002773,Sebastian,,Heredia,Sebastian Aguilera de Heredia,,,1561,8,,b.
https://en.wikipedia.org/w/index.php?title=Eden_ahbez&oldid=1219052633,Eden,,ahbez,Eden ahbez,,,1908,4,15,b.
https://en.wikipedia.org/w/index.php?title=Johann_Georg_Ahle&oldid=1163956251,Johann,,Ahle,Johann Georg Ahle,,,1651,6,,b.
https://en.wikipedia.org/w/index.php?title=Johann_Rudolph_Ahle&oldid=1217478336,Johann,,Ahle,Johann Rudolph Ahle,,,1625,12,24,b.
https://en.wikipedia.org/w/index.php?title=Maria_Theresia_Ahlefeldt&oldid=1228372946,Maria,,Ahlefeldt,Maria Theresia Ahlefeldt,,,1755,1,16,b.
https://en.wikipedia.org/w/index.php?title=Jacob_Niclas_Ahlström&oldid=1221195208,Jacob,,Ahlström,Jacob Niclas Ahlström,,,1805,6,5,b.
https://en.wikipedia.org/w/index.php?title=Ahn_Eak-tai&oldid=1221721819,Ahn,,Eak-tai,Ahn Eak-tai,,,1906,12,5,b.
https://en.wikipedia.org/w/index.php?title=Oscar_Ahnfelt&oldid=1203222997,Oscar,,Ahnfelt,Oscar Ahnfelt,,,1813,5,21,b.
https://en.wikipedia.org/w/index.php?title=Kalevi_Aho&oldid=1225582985,Kalevi,,Aho,Kalevi Aho,,,1949,3,9,b.
https://en.wikipedia.org/w/index.php?title=Sieglinde_Ahrens&oldid=1192783224,Sieglinde,,Ahrens,Sieglinde Ahrens,,,1936,2,19,b.
https://en.wikipedia.org/w/index.php?title=Gregor_Aichinger&oldid=1218503261,Gregor,,Aichinger,Gregor Aichinger,,,1565,,,c.
https://en.wikipedia.org/w/index.php?title=Bartholomäus_Aich&oldid=1224576390,Bartholomäus,,Aich,Bartholomäus Aich,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Karl_Stefan_Aichelburg&oldid=1227786322,Karl,,Aichelburg,Karl Stefan Aichelburg,,,1782,2,22,b.
https://en.wikipedia.org/w/index.php?title=John_Akar&oldid=1128578625,John,,Akar,John Akar,,,1927,,,b.
https://en.wikipedia.org/w/index.php?title=Doris_Akers&oldid=1214147387,Doris,,Akers,Doris Akers,,,1923,5,21,b.
https://en.wikipedia.org/w/index.php?title=Toshiko_Akiyoshi&oldid=1217336374,Toshiko,,Akiyoshi,Toshiko Akiyoshi,,,1929,12,12,b.
https://en.wikipedia.org/w/index.php?title=Necil_Kazım_Akses&oldid=1216768367,Necil,,Akses,Necil Kazım Akses,,,1908,5,6,b.
https://en.wikipedia.org/w/index.php?title=Yasushi_Akutagawa&oldid=1221821862,Yasushi,,Akutagawa,Yasushi Akutagawa,,,1925,7,12,b.
https://en.wikipedia.org/w/index.php?title=Jehan_Alain&oldid=1217476324,Jehan,,Alain,Jehan Alain,,,1911,2,3,b.
https://en.wikipedia.org/w/index.php?title=Alamanda_de_Castelnau&oldid=1208833274,Alamanda,,Castelnau,Alamanda de Castelnau,,,1160,,,b.
https://en.wikipedia.org/w/index.php?title=Pierre_Alamire&oldid=1194003403,Pierre,,Alamire,Pierre Alamire,,,1470,,,c.
https://en.wikipedia.org/w/index.php?title=Johannes_Alanus&oldid=1175349099,Johannes,,Alanus,Johannes Alanus,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Jean-Delphin_Alard&oldid=1224503926,Jean-Delphin,,Alard,Jean-Delphin Alard,,,1815,3,8,b.
https://en.wikipedia.org/w/index.php?title=Isaac_Albéniz&oldid=1223660439,Isaac,,Albéniz,Isaac Albéniz,,,1860,5,29,b.
https://en.wikipedia.org/w/index.php?title=Mateo_Albéniz&oldid=1219348134,Mateo,,Albéniz,Mateo Albéniz,,,1755,,,c.
https://en.wikipedia.org/w/index.php?title=Pedro_Albéniz&oldid=1216980981,Pedro,,Albéniz,Pedro Albéniz,,,1795,4,14,b.
https://en.wikipedia.org/w/index.php?title=Pere_Alberch_Vila&oldid=1221917456,Pere,,Vila,Pere Alberch Vila,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Petur_Alberg&oldid=1145697649,Petur,,Alberg,Petur Alberg,,,1885,12,15,b.
https://en.wikipedia.org/w/index.php?title=Eleanor_Alberga&oldid=1223321622,Eleanor,,Alberga,Eleanor Alberga,,,1949,,,b.
https://en.wikipedia.org/w/index.php?title=Pirro_Albergati&oldid=1171675165,Pirro,,Albergati,Pirro Albergati,,,1663,9,20,b.
https://en.wikipedia.org/w/index.php?title=Eugen_d'Albert&oldid=1218351292,Eugen,,d'Albert,Eugen d'Albert,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Heinrich_Albert_(composer)&oldid=1214300115,Heinrich,,Albert,Heinrich Albert (composer),,,,,,b.
https://en.wikipedia.org/w/index.php?title=Stephen_Albert&oldid=1182188788,Stephen,,Albert,Stephen Albert,,,1941,2,6,b.
https://en.wikipedia.org/w/index.php?title=Thomas_Albert_(composer)&oldid=1214759557,Thomas,,Albert,Thomas Albert (composer),,,1948,12,14,b.
https://en.wikipedia.org/w/index.php?title=Domenico_Alberti&oldid=1218349616,Domenico,,Alberti,Domenico Alberti,,,1710,,,c.
https://en.wikipedia.org/w/index.php?title=Gasparo_Alberti&oldid=1218502767,Gasparo,,Alberti,Gasparo Alberti,,,1485,,,c.
https://en.wikipedia.org/w/index.php?title=Giuseppe_Matteo_Alberti&oldid=1216986213,Giuseppe,,Alberti,Giuseppe Matteo Alberti,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Innocentio_Alberti&oldid=1223289319,Innocentio,,Alberti,Innocentio Alberti,,,1535,,,c.
https://en.wikipedia.org/w/index.php?title=Johann_Friedrich_Alberti&oldid=1063811536,Johann,,Alberti,Johann Friedrich Alberti,,,1642,1,11,b.
https://en.wikipedia.org/w/index.php?title=Ignazio_Albertini&oldid=1223289128,Ignazio,,Albertini,Ignazio Albertini,,,1644,,,c.
https://en.wikipedia.org/w/index.php?title=Joachim_Albertini&oldid=1216847082,Joachim,,Albertini,Joachim Albertini,,,1748,11,30,b.
https://en.wikipedia.org/w/index.php?title=Giovanni_Henrico_Albicastro&oldid=1225704751,Giovanni,,Albicastro,Giovanni Henrico Albicastro,,,1660,,,c.
https://en.wikipedia.org/w/index.php?title=Tomaso_Albinoni&oldid=1222360479,Tomaso,,Albinoni,Tomaso Albinoni,,,1671,6,8,b.
https://en.wikipedia.org/w/index.php?title=Charles_Albrecht&oldid=1219400143,Charles,,Albrecht,Charles Albrecht,,,1817,,,b.
https://en.wikipedia.org/w/index.php?title=Johann_Georg_Albrechtsberger&oldid=1217841373,Johann,,Albrechtsberger,Johann Georg Albrechtsberger,,,1736,2,3,b.
https://en.wikipedia.org/w/index.php?title=William_Albright_(musician)&oldid=1218170928,William,,Albright,William Albright (musician),,,1944,10,20,b.
https://en.wikipedia.org/w/index.php?title=Mark_Alburger&oldid=1215415051,Mark,,Alburger,Mark Alburger,,,1957,4,2,b.
https://en.wikipedia.org/w/index.php?title=Nilo_Alcala&oldid=1223323060,Nilo,,Alcala,Nilo Alcala,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Macedonio_Alcalá&oldid=1219400147,Macedonio,,Alcalá,Macedonio Alcalá,,,1831,9,12,b.
https://en.wikipedia.org/w/index.php?title=Luna_Alcalay&oldid=1217488373,Luna,,Alcalay,Luna Alcalay,,,1928,10,21,b.
https://en.wikipedia.org/w/index.php?title=José_Bernardo_Alzedo&oldid=1219348531,José,,Alzedo,José Bernardo Alzedo,,,1788,8,20,b.
https://en.wikipedia.org/w/index.php?title=Michael_Alcorn&oldid=1163432188,Michael,,Alcorn,Michael Alcorn,,,1962,1,22,b.
https://en.wikipedia.org/w/index.php?title=Amancio_Jacinto_Alcorta&oldid=1224476244,Amancio,,Alcorta,Amancio Jacinto Alcorta,,,1805,8,16,b.
https://en.wikipedia.org/w/index.php?title=Casimiro_Alcorta&oldid=1224476490,Casimiro,,Alcorta,Casimiro Alcorta,,,1840,,,b.
https://en.wikipedia.org/w/index.php?title=Henry_Aldrich&oldid=1223925610,Henry,,Aldrich,Henry Aldrich,,,1689,1,15,b.
https://en.wikipedia.org/w/index.php?title=Amanda_Aldridge&oldid=1228424996,Amanda,,Aldridge,Amanda Aldridge,,,1866,3,10,b.
https://en.wikipedia.org/w/index.php?title=Robert_Aldridge_(composer)&oldid=1226461889,Robert,,Aldridge,Robert Aldridge (composer),,,1994,9,7,b.
https://en.wikipedia.org/w/index.php?title=Giuseppe_Aldrovandini&oldid=1068449259,Giuseppe,,Aldrovandini,Giuseppe Aldrovandini,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Vittoria_Aleotti&oldid=1218502740,Vittoria,,Aleotti,Vittoria Aleotti,,,1575,,,c.
https://en.wikipedia.org/w/index.php?title=Leni_Alexander&oldid=1181575248,Leni,,Alexander,Leni Alexander,,,1924,6,8,b.
https://en.wikipedia.org/w/index.php?title=Liana_Alexandra&oldid=1224623975,Liana,,Alexandra,Liana Alexandra,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Franco_Alfano&oldid=1218349758,Franco,,Alfano,Franco Alfano,,,1919,3,8,b.
https://en.wikipedia.org/w/index.php?title=Alfonso_X_of_Castile&oldid=1227143499,Alfonso,,Castile,Alfonso X of Castile,,,1221,11,23,b.
https://en.wikipedia.org/w/index.php?title=Kenneth_J._Alford&oldid=1225546435,Kenneth,,Alford,Kenneth J. Alford,,,1881,2,21,b.
https://en.wikipedia.org/w/index.php?title=Hugo_Alfvén&oldid=1219051096,Hugo,,Alfvén,Hugo Alfvén,,,1872,5,1,b.
https://en.wikipedia.org/w/index.php?title=Charlotte_Alington_Barnard&oldid=1218866517,Charlotte,,Barnard,Charlotte Alington Barnard,,,1830,12,23,b.
https://en.wikipedia.org/w/index.php?title=Francesc_Alió&oldid=1227082486,Francesc,,Alió,Francesc Alió,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Franghiz_Ali-Zadeh&oldid=1215586153,Franghiz,,Ali-Zadeh,Franghiz Ali-Zadeh,,,1947,5,29,b.
https://en.wikipedia.org/w/index.php?title=Charles-Valentin_Alkan&oldid=1228009416,Charles-Valentin,,Alkan,Charles-Valentin Alkan,,,1835,,,c.
https://en.wikipedia.org/w/index.php?title=Siegfried_Alkan&oldid=1165856997,Siegfried,,Alkan,Siegfried Alkan,,,1858,3,30,b.
https://en.wikipedia.org/w/index.php?title=Esther_Allan&oldid=1214147513,Esther,,Allan,Esther Allan,,,1914,4,28,b.
https://en.wikipedia.org/w/index.php?title=Gregorio_Allegri&oldid=1223288739,Gregorio,,Allegri,Gregorio Allegri,,,1582,2,7,c.
https://en.wikipedia.org/w/index.php?title=Steve_Allen&oldid=1227965782,Steve,,Allen,Steve Allen,,,1921,12,26,b.
https://en.wikipedia.org/w/index.php?title=Pedro_Humberto_Allende&oldid=1218214026,Pedro,,Allende,Pedro Humberto Allende,,,1885,7,29,b.
https://en.wikipedia.org/w/index.php?title=Juan_Allende-Blin&oldid=1145657676,Juan,,Allende-Blin,Juan Allende-Blin,,,1928,2,24,b.
https://en.wikipedia.org/w/index.php?title=Kristi_Allik&oldid=1215496594,Kristi,,Allik,Kristi Allik,,,1952,2,6,b.
https://en.wikipedia.org/w/index.php?title=Richard_Allison_(composer)&oldid=1218502420,Richard,,Allison,Richard Allison (composer),,,1560,,,c.
https://en.wikipedia.org/w/index.php?title=Frances_Allitsen&oldid=1219734040,Frances,,Allitsen,Frances Allitsen,,,1848,12,30,b.
https://en.wikipedia.org/w/index.php?title=Francisco_António_de_Almeida&oldid=1219348136,Francisco,,Almeida,Francisco António de Almeida,,,1702,,,c.
https://en.wikipedia.org/w/index.php?title=João_Pedro_de_Almeida_Mota&oldid=1200212703,João,,Mota,João Pedro de Almeida Mota,,,1744,6,24,b.
https://en.wikipedia.org/w/index.php?title=Laurindo_Almeida&oldid=1220709055,Laurindo,,Almeida,Laurindo Almeida,,,1917,9,2,b.
https://en.wikipedia.org/w/index.php?title=Atso_Almila&oldid=1189034200,Atso,,Almila,Atso Almila,,,1953,6,13,b.
https://en.wikipedia.org/w/index.php?title=Carl_Jonas_Love_Almqvist&oldid=1191863769,Carl,,Almqvist,Carl Jonas Love Almqvist,,,1793,11,28,b.
https://en.wikipedia.org/w/index.php?title=Eyvind_Alnæs&oldid=1216806247,Eyvind,,Alnæs,Eyvind Alnæs,,,1872,4,29,b.
https://en.wikipedia.org/w/index.php?title=Daniel_Alomía_Robles&oldid=1218346240,Daniel,,Robles,Daniel Alomía Robles,,,1936,,,c.
https://en.wikipedia.org/w/index.php?title=Francisco_Alonso&oldid=1218346631,Francisco,,Alonso,Francisco Alonso,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Eduardo_Alonso-Crespo&oldid=1221197658,Eduardo,,Alonso-Crespo,Eduardo Alonso-Crespo,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Yardena_Alotin&oldid=1185604343,Yardena,,Alotin,Yardena Alotin,,,1930,10,19,b.
https://en.wikipedia.org/w/index.php?title=Birgitte_Alsted&oldid=1221137439,Birgitte,,Alsted,Birgitte Alsted,,,1942,6,15,b.
https://en.wikipedia.org/w/index.php?title=Johann_Ernst_Altenburg&oldid=1145458308,Johann,,Altenburg,Johann Ernst Altenburg,,,1734,6,15,b.
https://en.wikipedia.org/w/index.php?title=Michael_Altenburg&oldid=1226149052,Michael,,Altenburg,Michael Altenburg,,,1584,5,27,b.
https://en.wikipedia.org/w/index.php?title=Martha_Alter&oldid=1222413259,Martha,,Alter,Martha Alter,,,1904,2,8,b.
https://en.wikipedia.org/w/index.php?title=Johann_Christoph_Altnickol&oldid=1220923056,Johann,,Altnickol,Johann Christoph Altnickol,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Fermín_María_Álvarez&oldid=1181515190,Fermín,,Álvarez,Fermín María Álvarez,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Javier_Álvarez_(composer)&oldid=1218209415,Javier,,Álvarez,Javier Álvarez (composer),,,1956,5,8,b.
https://en.wikipedia.org/w/index.php?title=Antonio_Álvarez_Alonso&oldid=1038718180,Antonio,,Alonso,Antonio Álvarez Alonso,,,,,,b.
https://en.wikipedia.org/w/index.php?title=Miguel_Álvarez-Fernández&oldid=1215772453,Miguel,,Álvarez-Fernández,Miguel Álvarez-Fernández,,,1979,11,28,b.
